Month,Crime Query
2004-01,91
2004-02,77
2004-03,91
2004-04,71
2004-05,81
2004-06,96
2004-07,85
2004-08,77
2004-09,72
2004-10,87
2004-11,93
2004-12,71
2005-01,63
2005-02,90
2005-03,86
2005-04,75
2005-05,70
2005-06,79
2005-07,61
2005-08,74
2005-09,90
2005-10,81
2005-11,93
2005-12,80
2006-01,70
2006-02,56
2006-03,96
2006-04,70
2006-05,68
2006-06,52
2006-07,62
2006-08,64
2006-09,58
2006-10,71
2006-11,82
2006-12,49
2007-01,64
2007-02,77
2007-03,66
2007-04,67
2007-05,59
2007-06,50
2007-07,65
2007-08,55
2007-09,64
2007-10,71
2007-11,76
2007-12,52
2008-01,63
2008-02,75
2008-03,67
2008-04,63
2008-05,64
2008-06,58
2008-07,56
2008-08,56
2008-09,56
2008-10,74
2008-11,59
2008-12,58
2009-01,57
2009-02,74
2009-03,66
2009-04,62
2009-05,64
2009-06,53
2009-07,53
2009-08,50
2009-09,59
2009-10,67
2009-11,61
2009-12,57
2010-01,53
2010-02,59
2010-03,66
2010-04,59
2010-05,60
2010-06,58
2010-07,61
2010-08,49
2010-09,67
2010-10,66
2010-11,69
2010-12,54
2011-01,62
2011-02,75
2011-03,62
2011-04,60
2011-05,48
2011-06,66
2011-07,52
2011-08,60
2011-09,66
2011-10,67
2011-11,70
2011-12,65
2012-01,70
2012-02,59
2012-03,66
2012-04,60
2012-05,57
2012-06,53
2012-07,65
2012-08,52
2012-09,58
2012-10,64
2012-11,65
2012-12,65
2013-01,67
2013-02,66
2013-03,78
2013-04,67
2013-05,63
2013-06,64
2013-07,60
2013-08,60
2013-09,71
2013-10,68
2013-11,67
2013-12,61
2014-01,67
2014-02,72
2014-03,70
2014-04,65
2014-05,62
2014-06,69
2014-07,61
2014-08,69
2014-09,66
2014-10,73
2014-11,79
2014-12,67
2015-01,74
2015-02,73
2015-03,88
2015-04,83
2015-05,75
2015-06,68
2015-07,69
2015-08,71
2015-09,75
2015-10,76
2015-11,83
2015-12,76
2016-01,85
2016-02,100
2016-03,97
2016-04,79
2016-05,72
2016-06,77
2016-07,76
2016-08,71
2016-09,87
2016-10,84
2016-11,84
2016-12,64
2017-01,84
2017-02,90
2017-03,88
2017-04,77
2017-05,75
2017-06,80
2017-07,73
2017-08,70
2017-09,76
2017-10,84
2017-11,86
2017-12,69
2018-01,81
2018-02,87
2018-03,86
2018-04,81
2018-05,75
2018-06,81
2018-07,74
2018-08,73
2018-09,74
2018-10,78
2018-11,85
2018-12,74
2019-01,80
2019-02,81
2019-03,84
2019-04,74
